"clean_text","is_reclamation","category","urgency"
"je suis satisfait de votre assistance",non_reclamation,,faible
"great experience thank you",non_reclamation,,faible
"very helpful support team",non_reclamation,,faible
"3ayechkom 3la service",non_reclamation,,faible
service ممتاز,non_reclamation,,faible
"bravo pour votre professionnalisme",non_reclamation,,faible
"merci pour votre aide rapide",non_reclamation,,faible
"no reply from support team",reclamation,SERVICE CLIENT,elevee
"they closed my request without solving it",reclamation,SERVICE CLIENT,elevee
"ma fama hata réponse mel support",reclamation,SERVICE CLIENT,elevee
"3andi mochkla fil compte mta3i",reclamation,SERVICE CLIENT,moyenne
"إنشاالله ديما التعاونية ناجحة giphy click to view attachment","non_reclamation",NULL,"NULL"
"انشالله مبروك علينا الكل","non_reclamation",NULL,"NULL"
"انشالله مبروك علينا جميعا","non_reclamation",NULL,"NULL"
"mon assurance ne couvre pas les dégâts",reclamation,SINISTRE IRDS,elevee
"انشالله مربوحة","non_reclamation",NULL,"NULL"
"انشلا مربوحة","non_reclamation",NULL,"NULL"
"بالبركة و بالمزيد من النجاحات","non_reclamation",NULL,"NULL"
"بالتوفيق للجميع","non_reclamation",NULL,"NULL"
"بالتوفيق و النجاح صابر","non_reclamation",NULL,"NULL"
"بالتوفيق ونجاح في العمل edited","non_reclamation",NULL,"NULL"
"برافو أما الرجاء الالتفات لغابة عين الداموس بنزرت اللي برشا بارونات حاطة عينها علاها واكتسحها البناء العشوائي بعد حرائق السنوات الفارطة","non_reclamation",NULL,"NULL"
"برافو سي لسعد هذا ليس بغريب على قامه من قامات البلاد في ميدانه وهو الذي عرف بدماثة أخلاقه وانصاته وتفاعله الايجابي وكذلك هو لطيف رؤوف بكل محتاج و طالب للمساعدة باختصار هو الرجل المناسب في المكان المناسب مزيد من التألق والنجاح edited","non_reclamation",NULL,"NULL"
"برافو وباستحقاق اخلاق وتواضع وانسانية وياقف مع الزوالي ستار في وقتو كانت جنة واحسن فترة عاشوها الموظفين يا حسرةلين خرجت تقاعد وأنا نسمع في أغلب الناس تحكي عليه وعلى انجازاتو المميزة ويڨولو يا حسرة وحسب ما نشوف تعليقات الستاريستية مهيمنة سي لسعد أعز الناس هنيئا لكم به","non_reclamation",NULL,"NULL"
"بربي عندكم واتساب باش ننجم نتواصل معاكم نحب نستفسر على بعض المسائل ونأمن معاكم","reclamation","SERVICE CLIENT","faible"
"بربي قداش رقم maeassurance edited","reclamation",SERVICE CLIENT,"faible"
"mon assurance refuse de couvrir les dégâts de mon équipement électronique",reclamation,SINISTRE IRDS,elevee
"problème dans le remboursement suite à un sinistre incendie",reclamation,SINISTRE IRDS,elevee
"mon dossier responsabilité civile est bloqué",reclamation,SINISTRE IRDS,moyenne
"تجمشي تقلي علاش كل 6 شهور تزيدو 10د في معلوم التامين",reclamation,SERVICE CLIENT,"moyenne"
"حاجة متوقعة سي الاسعد عز الناس من ناحية الانسانية ومن ناحية الحرفية ربي يباركلوا وين يخدم يخلي بصمتوا والسمعة الطيبة","non_reclamation",NULL,"NULL"
"حاضر جميل ومستقبل زاهر","non_reclamation",NULL,"NULL"
"aucune réponse après déclaration de dommage matériel",reclamation,SINISTRE IRDS,elevee
"le sinistre lié à mon entreprise n’est toujours pas traité",reclamation,SINISTRE IRDS,elevee
"retard dans le traitement de mon dossier multirisque professionnel",reclamation,SINISTRE IRDS,moyenne
"my equipment damage claim is not processed",reclamation,SINISTRE IRDS,elevee
"حكايات فارغه شعب عظيم شعب مختار","non_reclamation",NULL,"NULL"
"حكايتكم افرغ من فارغة وكلو كذب عندي عام نستنا فيكم ترجعولي فلوس بنتي ومافما شي لا تردو على تاليفون ولا تعرفو تتصرفو اما الفلوس اللي رصاتلي ندفع فاها للقباضة من جرتكم ما نجم نقول كان يخلف عليا ربي حسبي الله وبرا","reclamation","SERVICE CLIENT","elevee"
"دام عزكم احسن شركة تأمين","non_reclamation",NULL,"NULL"
"دراجة نارية كيفاش نعمللها تأمين","reclamation","SERVICE CLIENT","faible"
"ربنا يشفى كل مريض يارب","non_reclamation",NULL,"NULL"
"ربنا يشفي ويعفي عن كل مريض يارب العالمين","non_reclamation",NULL,"NULL"
"ربنا يشفيهم ويعفي عنهم يارب العالمين","non_reclamation",NULL,"NULL"
"ربي يبارك لك ويوفقك عز الناس","non_reclamation",NULL,"NULL"
"ربي يسترنا من عين الحاسدين","non_reclamation",NULL,"NULL"
"ربي يوفقهم التلامذ الكل وياربي تنجحلي وليدي دلي","non_reclamation",NULL,"NULL"
"رمضان كريم، أعاده الله عليكم و علينا بالخير واليمن والبركات","non_reclamation",NULL,"NULL"
"رمضان مبارك باذن الله","non_reclamation",NULL,"NULL"
"سي لسعد ديما منورنا راك باقي أعزيز أعلينا","non_reclamation",NULL,"NULL"
"سي لسعد ربي يفظلو","non_reclamation",NULL,"NULL"
"شالله انكون من الفاءزين","non_reclamation",NULL,"NULL"
"شالله مربوحة","non_reclamation",NULL,"NULL"
"صباح الخير سنين دايمه","non_reclamation",NULL,"NULL"
"عاشت تونس حرة مستقلة ومزدهرة","non_reclamation",NULL,"NULL"
"عاملين conversation مع وزارة الصحة","non_reclamation",NULL,"NULL"
"support is not helpful",reclamation,SERVICE CLIENT,faible
مشكل في التواصل مع خدمة الحرفاء,reclamation,SERVICE CLIENT,elevee
"علاش التاكسي الفردي معادش تقبلوهم","reclamation",SERVICE CLIENT,"faible"
"عندكم فرع في اريانة أو حي الغزالة؟","reclamation",SERVICE CLIENT,"faible"
"عندي معاهم سنوات و نهارت اللي جبرتني البنك باش نحل assurance تابع البنك سكرت معاهم عندي قريب العام ما رجعوليش حقي وين نمشي السياج مزال ماصبش هام يعملو في الحساب هاو رأس عام كل مرة حكاية","reclamation","SERVICE CLIENT","elevee"
"عيد سعيد مبارك","non_reclamation",NULL,"NULL"
"عيد سعيد وكل عام و التعاونية بألف خير","non_reclamation",NULL,"NULL"
"عيد فطر سعيد وكل عام وانتم بخير","non_reclamation",NULL,"NULL"
"عيد فطر مبارك انشالله","non_reclamation",NULL,"NULL"
"عيد فطر مبارك باذن الله","non_reclamation",NULL,"NULL"
"عيد فطر مبارك سعيد باذن الله","non_reclamation",NULL,"NULL"
"عيد فطر مبارك وكل عام وانتم بالف خير","non_reclamation",NULL,"NULL"
"عيد مبارك للتعاونية و منخرطيها و اطاراتها","non_reclamation",NULL,"NULL"
"عيد مبارك و كل عام و انتم بخير","non_reclamation",NULL,"NULL"
"عيد مولد نبوي شريف اعاده الله علينا و عليكم باليمن والخير و الصلاة على سيدنا محمد رسول الله","non_reclamation",NULL,"NULL"
"عيد مولد نبوي شريف والصلاة والسلام على سيدنا محمد رسول الله","non_reclamation",NULL,"NULL"
"عيدكم مبارك سعيد","non_reclamation",NULL,"NULL"
"عيدكم مبروك كل عام وانتم بخير","non_reclamation",NULL,"NULL"
"عيدكم مبروك ناس الكل كل عام والتعاونية بخير","non_reclamation",NULL,"NULL"
"عيدكم مبروك و سنين دايمة","non_reclamation",NULL,"NULL"
"عيدكم مبروك وكل عام وmae بخير وكل عام وهي نجم متألق","non_reclamation",NULL,"NULL"
"عيدكم مبروكوسنين دايمة","non_reclamation",NULL,"NULL"
"فأما الزبد فيذهب جفاء و أما ما ينفع الناس فيمكث في الأرضصدق الله العظيم ألف ألف مبروك السيد المدير العام و كل إطارات التعاونية على هذا التميز المستحق وهو الرد الشافي و الكافي على كل ذالك الضجيج الصاخب","non_reclamation",NULL,"NULL"
"فكرة حسنة لكن كان بالامكان ان تكون أحسن لو غرستم اشجارزيتون عوض الكالتوس لحاجة البلاد لمادّة الزّيت خاصّة و ان البيئة ملائمة لذلك","non_reclamation",NULL,"NULL"
"فكرة هايلة، mae ديما القدام زيدونا garantie bris de glace pour les smart phones","reclamation",SERVICE CLIENT,"faible"
"فيبالي الشركة هذه تأمن زادة على الكراهب","non_reclamation",NULL,"NULL"
"كان عندك ملف تعويض بصدد الدراسة ما تنجمش تطلع عليه وعالوضعية متاعو","reclamation","SINISTRE VIE","moyenne"
"كفش نجم نربح","non_reclamation",NULL,"NULL"
"J’ai déposé une demande pour mon assurance vie il y a quelques semaines ama ma fama hata réponse taw",reclamation,SINISTRE VIE,moyenne
"ba3tht les documents pour assurance vie ama traitement mazelt ma tsarafch, pouvez-vous voir ça svp",reclamation,SINISTRE VIE,moyenne
"Je rencontre un retard dans le paiement de mon épargne vie depuis quelque temps w nheb nafhem chnowa sayer",reclamation,SINISTRE VIE,moyenne
"كل سنة والتعاونية بألف خير كل سنة والتعاونية في تقدم وازدهار","non_reclamation",NULL,"NULL"
"كل سنة والجميع بالف خير","non_reclamation",NULL,"NULL"
"كل عام و mae assurances بخير","non_reclamation",NULL,"NULL"
"3andi mochkla fi assurance responsabilité civile",reclamation,SINISTRE IRDS,moyenne
"7ra9 el local mta3i w ma fama hata ta3widh",reclamation,SINISTRE IRDS,elevee
"ta3telt barcha fel dossier mta3 multirisque",reclamation,SINISTRE IRDS,moyenne
"كل عام و أنتم بخير ، مولد نبوي مبارك giphy click to view attachment","non_reclamation",NULL,"NULL"
"كل عام وانتم بخير وفي ازدهار وتقدم رمضان مبارك","non_reclamation",NULL,"NULL"
"كل عام وأنتم بخير، أعاده الله عليكم باليمن والبركات، وأنعم عليكم بالفرح والسعادة","non_reclamation",NULL,"NULL"
"كل عام وكل اكل أسرة التعاونية بالف خير ونرجو مزيد الازدهار والتقدم","non_reclamation",NULL,"NULL"
"كما عام وانتم بالف خير","non_reclamation",NULL,"NULL"
"كمي واخميس عليكم","non_reclamation",NULL,"NULL"
"كيفاش انجم نسجل اسمي لدورة سوسة","reclamation",SERVICE CLIENT,"faible"
"customer support never replies",reclamation,SERVICE CLIENT,elevee
"service client ne répond pas",reclamation,SERVICE CLIENT,elevee
"كيفش المشركة","reclamation",SERVICE CLIENT,"faible"
"لا موش صحيح mae تعرف تقبض حق التأمين على السيارات ولا تسعى إلى رد حق المشترك اي التعويض على الحوادث وعندي الدليل القاطع من شهر جوان 2025 إلى حد هذا التاريخ مارس 2026 لم أحصل على إسترجاع حقي من الحادث مع كل شء واضح وتمام التمام حسبي الله ونعم الوكيل في من تكتم على حصولي على التعويض","reclamation","SINISTRE AUTO","elevee"
"للأسف التطبيقة بعد إدخال عدد العقد ورقم الهاتف عند المرور للمرحلة الثانية لا تصلني إرسالية للمرور للمرحلة الموالية","reclamation","SERVICE CLIENT","moyenne"
"لماذا لا تتم زراعة أشجار الزيتون أو خروب أو أشجار الجوز في غابات سجنان خلي الأهالي تسترزق","non_reclamation",NULL,"NULL"
"لو سمحتم هل توجد نيابة m a e في المرو ج بن عروس شكرا","reclamation",SERVICE CLIENT,"faible"
"مادام باش تتعدى للفرع تاخو الورقة ماهيش افار","reclamation",SERVICE CLIENT,"faible"
"مانوع contrat","reclamation",SERVICE CLIENT,"faible"
"ماهو تأثير دمج الاقتصاد الاجتماعي والتضامني في استراتجية الشركة على المنخرطين في تأمين السيارات","reclamation",SERVICE CLIENT,"faible"
"مبادرة طيبة بالتوفيق والنجاح","non_reclamation",NULL,"NULL"
"مبارك علينا جميعا أن شاء الله","non_reclamation",NULL,"NULL"
"مبروك mae انشاء الله بالتوفيق","non_reclamation",NULL,"NULL"
"مبروك انشاءالله بالتوفيق","non_reclamation",NULL,"NULL"
"مبروك علينا انشاء الله","non_reclamation",NULL,"NULL"
"مبروك للتعاونية و لبوسالم أبطال إفريقيا للكرة الطائرة","non_reclamation",NULL,"NULL"
"متى دورة جندوبة؟ أنا اترقبها","reclamation",SERVICE CLIENT,"faible"
"محلاها التعاونية عشيرتى منذ 40 عاما","non_reclamation",NULL,"NULL"
مشكل في التأمين على الحياة,reclamation,SINISTRE VIE,elevee
"mon contrat assurance vie est bloqué",reclamation,SINISTRE VIE,elevee
"life insurance claim rejected",reclamation,SINISTRE VIE,elevee
"مربووووحة ان شاءالله","non_reclamation",NULL,"NULL"
"مرحبا بكم في المركز الثقافي الدولي يوغرطة بالكاف","non_reclamation",NULL,"NULL"
"مرحبا بيك mae","non_reclamation",NULL,"NULL"
"مرحبا في مدنينما تنسوناشحضوضنا ديما ناقصة في مثل هذه المبادرات","non_reclamation",NULL,"NULL"
"مرحبا هل تقبلون تأمين دراجة نارية من صنف 125؟","reclamation","SERVICE CLIENT","faible"
"مشيت اليوم باش نعمل تامين للكرهبتي ياخي نلقى معاملة غير حسنة مع معلوم دوبل غير منطقي وغالية برشى","reclamation","SINISTRE VIE","elevee"
"موش مرسم كيفاش","reclamation",SERVICE CLIENT,"faible"
"موفقين انشاء الله","non_reclamation",NULL,"NULL"
"retard dans mon dossier assurance vie",reclamation,SINISTRE VIE,elevee
"no response about my life insurance",reclamation,SINISTRE VIE,moyenne
"موفقين باذن الله","non_reclamation",NULL,"NULL"
"موفقين بالتوفيق والنجاح","non_reclamation",NULL,"NULL"
"موفقين دائما انشاءالله","non_reclamation",NULL,"NULL"
"مولد مبارك عليكم كل عام وانتم بخير","non_reclamation",NULL,"NULL"
"مولد مبروك على الناس الكل","non_reclamation",NULL,"NULL"
"مولد نبوي مبارك اعاده الله عليكم بالخير واليمن والبركات وكل عام وانتم بخير","non_reclamation",NULL,"NULL"
"مولد نبوي مبارك باذن الله","non_reclamation",NULL,"NULL"
"life insurance payment is delayed",reclamation,SINISTRE VIE,elevee
"3andi mochkla fi assurance vie",reclamation,SINISTRE VIE,moyenne
"مولدكم مبروك","non_reclamation",NULL,"NULL"
"نبتة الخروب فيه مصلحة الناس الكل خاصة مربي النحل لضرورة تنوع الانتاج","non_reclamation",NULL,"NULL"
"نستناوكم في المنستير","non_reclamation",NULL,"NULL"
"نشالله مبروك","non_reclamation",NULL,"NULL"
"هذا ما ننتظره من مؤسساتنا وقت الشدة، ليس تموقعا تجاريا لاظهار جودة او الحاجة للمنتوج بل مبادرة في اطار اختصاص المؤسسة يفرج الكرب ويساعد على تجاوز المحنة، في انتظار استكمال ما يلزم من اجراءات لاحقا هذا هو جوهر النموذج التعاوني الربح كوسيلة لخدمة الانسان وليس كهدف في حد ذاته شكرا على الريادة","reclamation","SERVICE CLIENT","moyenne"
"هل بمكن لسيارة ذو لوحة منجمية فرنسية الدخول إلى تونس،","reclamation","SINISTRE AUTO","faible"
"هل تؤمنون الدراجات الناريه","reclamation",SERVICE CLIENT,"faible"
"هنيئا لنا جميعا","non_reclamation",NULL,"NULL"
"والد صحراء تونس مشاالله","non_reclamation",NULL,"NULL"
"والورقة الي تلصق كيفاش؟","reclamation",SERVICE CLIENT,"faible"
"وتامين على المرض موجود ولا","reclamation",SINISTRE VIE,"faible"
"وكل عام نزيدو في السوم","non_reclamation",NULL,"NULL"
"ولايات الساحل يزرعو في الزيتون و الأشجار المثمرة و المربحة للدولة و العباد و الشمال دازين عليه كان بالكالاتوس و الغابة لا انتاج لا منتوجية اكهو كل بلاد و رجالها من هاكة العام","non_reclamation",NULL,"NULL"
"وين في صفاقس","reclamation",SERVICE CLIENT,"faible"
"ىارب ىااله ياكريم","non_reclamation",NULL,"NULL"
"مشكل في تعويض IRDS",reclamation,SINISTRE IRDS,elevee
"delay in IRDS reimbursement",reclamation,SINISTRE IRDS,moyenne
"dossier IRDS refusé sans explication",reclamation,SINISTRE IRDS,elevee
"je n’ai pas reçu le paiement assurance vie",reclamation,SINISTRE VIE,elevee
"يا رب أجله من نصيبي","non_reclamation",NULL,"NULL"
"يااااااااااااارب","non_reclamation",NULL,"NULL"
"يااربي متخليهاش بيهم نجحهم","non_reclamation",NULL,"NULL"
"يارب اتنورهم اجمعين","non_reclamation",NULL,"NULL"
"يارب إستودعتك إبني","non_reclamation",NULL,"NULL"
"يستحق كل خير انسان متربي ومتواضع وذاكفاءة عالية","non_reclamation",NULL,"NULL"
"يستحق كل خير شخصية عملية و انسانية و يقدر مجهود الناس اللي تخدم أعز ايمات الستار في الفترة اللي شد فيها سي أسعد ربي يباركلو","non_reclamation",NULL,"NULL"
"يشفيه ويعافيه وربي يونسك بيها","non_reclamation",NULL,"NULL"
"نحب نعرف السعر متاع التأمين",reclamation,SERVICE CLIENT,faible
"نجم نخرج الوثيقة من الموقع",reclamation,SERVICE CLIENT,faible
"Mon dossier de dégâts matériels suite à un incendie n’a toujours pas été traité",reclamation,SINISTRE IRDS,elevee
"Je n’ai pas reçu le remboursement pour les dommages causés à mon local professionnel",reclamation,SINISTRE IRDS,elevee
"Je n’arrive pas à joindre le service client depuis plusieurs jours w ça devient compliqué, merci de me répondre","reclamation",SERVICE CLIENT,"moyenne"
"Le sinistre concernant mon matériel électronique est bloqué depuis plusieurs semaines",reclamation,SINISTRE IRDS,elevee
"Après plusieurs relances, mon indemnisation pour dégâts matériels n’est toujours pas versée",reclamation,SINISTRE IRDS,elevee
نحب نسأل على تعويض الأضرار المادية كيفاش يتم,reclamation,SINISTRE IRDS,faible
تنجموا تشوفولي الدوسي متاع المسؤولية المدنية,reclamation,SINISTRE IRDS,faible
"Mon assurance refuse de couvrir les dommages causés à mon équipement sans explication",reclamation,SINISTRE IRDS,moyenne
"Le dossier de responsabilité civile que j’ai déclaré n’avance pas",reclamation,SINISTRE IRDS,moyenne
"J’ai envoyé tous les documents pour mon sinistre incendie mais aucune réponse",reclamation,SINISTRE IRDS,elevee
"Le traitement de mon sinistre multirisque professionnel est en retard",reclamation,SINISTRE IRDS,moyenne
"Mon dossier d’assurance vie est bloqué depuis plusieurs mois sans réponse",reclamation,SINISTRE VIE,elevee
نحب معلومات على عقد التأمين على الحياة متاعي,reclamation,SINISTRE VIE,faible
"J’ai envoyé une demande concernant mon assurance vie ama ma fama hata réponse depuis quelque temps, merci de vérifier",reclamation,SINISTRE VIE,moyenne
تنجموا تعطوني تفاصيل على الادخار الجماعي متاعي,reclamation,SINISTRE VIE,faible
"Je n’ai pas reçu l’indemnisation après le décès du bénéficiaire",reclamation,SINISTRE VIE,elevee
"Mon dossier de dégâts matériels ba3tht kol chay ama toujours pas de remboursement, merci de faire le nécessaire",reclamation,SINISTRE IRDS,moyenne
"Le traitement de mon dossier décès emprunteur est très en retard",reclamation,SINISTRE VIE,elevee
"Je rencontre un problème dans le paiement de mon assurance retraite",reclamation,SINISTRE VIE,moyenne
"J’ai déclaré un accident depuis 10 jours w mazelt ma tla9itch réponse, pouvez-vous vérifier mon dossier svp",reclamation,SINISTRE AUTO,moyenne
"Mon contrat d’épargne collective n’a pas été mis à jour correctement",reclamation,SINISTRE VIE,moyenne
"J’ai fait une demande de remboursement en assurance vie mais je n’ai rien reçu",reclamation,SINISTRE VIE,elevee
